,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
430,1.0,0.44,-1.0,-1.0,-125.0,-122.82930287065544,-5.0,-2.212995881930831,-52.0,-49.2440630411964,-122.0,-121.20999146041726,31.599999999999998,33.667365424100375,-122.0,-117.5043443134716
101,1.0,0.14,-1.0,1.0,195.0,193.99457511923697,-65.0,-62.43231086675892,119.6,117.92846817605935,49.599999999999994,59.04162019693855,119.6,113.49004599867358,22.999999999999996,19.273118396955972
318,-1.0,0.4,-1.0,1.0,-65.0,-73.91221513867475,195.0,193.43972042414958,86.0,90.843744235366,156.0,143.4492781724421,10.0,5.418696764832824,156.0,153.02955436079674
363,1.0,0.24,-1.0,-1.0,-125.0,-119.31645581127509,-5.0,-3.7482141918788674,-42.0,-36.69873986553972,-112.0,-113.0947979046962,3.599999999999998,-0.7101538920972059,-112.0,-119.90161538411527
285,1.0,0.04,-1.0,-1.0,-125.0,-118.90131347626284,-5.0,-4.36567232221636,-32.0,-37.50519638633523,-102.0,-102.96344378790802,-24.4,-24.02461091891556,-102.0,-102.57842996712587
199,1.0,0.5,-1.0,1.0,195.0,204.4995389738593,-65.0,-61.49523405824217,170.0,154.696632144374,100.0,87.71682007407247,170.0,177.87165012309146,5.0,11.329449247217887
107,1.0,0.32,-1.0,1.0,195.0,183.58368838835634,-65.0,-61.35959070402526,144.8,139.06669428516065,74.8,77.99315609370846,144.8,135.21204904284798,13.999999999999996,21.775711497003897
106,1.0,0.34,-1.0,1.0,195.0,189.44252658392895,-65.0,-75.4630709561192,147.6,152.74115045896826,77.6,73.94108627190751,147.6,142.48844921494353,12.999999999999993,12.490815988777138
246,1.0,0.28,-1.0,-1.0,-125.0,-122.77257243051682,-5.0,0.2382182610748229,-44.0,-43.34581995809953,-114.0,-114.42518456922222,9.200000000000003,14.940139577423807,-114.0,-115.95359765394907
3,1.0,0.02,-1.0,1.0,195.0,201.26418036539218,-65.0,-65.1595045205377,102.80000000000001,103.48405324826612,32.8,21.834174897428177,102.80000000000001,102.91026989179225,29.0,32.17253227236852
484,1.0,0.4,-1.0,-1.0,-125.0,-133.23320188806574,-5.0,2.8505829230874715,-50.0,-50.575123999589515,-120.0,-115.40904542550587,26.0,27.65928123837434,-120.0,-115.99730134829531
232,1.0,0.36,-1.0,-1.0,-125.0,-124.95201314134209,-5.0,-2.493965569682742,-48.0,-48.09370256484101,-118.0,-128.2711270328725,20.399999999999995,18.551019985435417,-118.0,-125.25951014763852
26,1.0,0.24,-1.0,1.0,195.0,203.25659051135713,-65.0,-70.27008850101404,133.6,135.94560435329882,63.599999999999994,65.77101528168404,133.6,144.7567897749716,17.999999999999996,20.34892130868927
108,1.0,0.1,-1.0,1.0,195.0,196.2095861941354,-65.0,-54.30558387153977,114.0,114.33334268346479,44.0,48.82796750370453,114.0,117.23588028905222,25.0,19.472971164337977
428,1.0,0.5,-1.0,-1.0,-125.0,-126.80944841234346,-5.0,4.4044803311356056,-55.0,-59.04458605992174,-125.0,-126.37526029699058,40.0,36.99776174302059,-125.0,-116.0942751365182
